time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-27 00:00:00+00:00,0,0,22,16
2025-02-28 00:00:00+00:00,0,0,17,9
2025-03-01 00:00:00+00:00,1,1,1,1
2025-03-02 00:00:00+00:00,1,1,5,3
2025-03-03 00:00:00+00:00,0,0,13,10
2025-03-04 00:00:00+00:00,0,0,19,9
2025-03-05 00:00:00+00:00,0,0,11,6
2025-03-06 00:00:00+00:00,1,1,31,22
2025-03-07 00:00:00+00:00,1,1,21,16
2025-03-08 00:00:00+00:00,1,1,3,3
2025-03-09 00:00:00+00:00,1,1,0,0
2025-03-10 00:00:00+00:00,0,0,29,18
2025-03-11 00:00:00+00:00,2,2,19,13
2025-03-12 00:00:00+00:00,0,0,16,11
2025-03-13 00:00:00+00:00,0,0,14,10
2025-03-14 00:00:00+00:00,0,0,10,6
2025-03-15 00:00:00+00:00,0,0,2,2
2025-03-16 00:00:00+00:00,1,1,2,2
2025-03-17 00:00:00+00:00,1,1,6,6
2025-03-18 00:00:00+00:00,0,0,16,11
2025-03-19 00:00:00+00:00,0,0,22,16
2025-03-20 00:00:00+00:00,2,2,16,11
2025-03-21 00:00:00+00:00,0,0,25,9
2025-03-22 00:00:00+00:00,0,0,10,4
2025-03-23 00:00:00+00:00,0,0,34,8
2025-03-24 00:00:00+00:00,0,0,20,12
2025-03-25 00:00:00+00:00,0,0,31,17
2025-03-26 00:00:00+00:00,1,1,19,7
2025-03-27 00:00:00+00:00,0,0,8,6
2025-03-28 00:00:00+00:00,3,3,16,7
2025-03-29 00:00:00+00:00,0,0,5,2
2025-03-30 00:00:00+00:00,1,1,1,1
2025-03-31 00:00:00+00:00,0,0,14,10
2025-04-01 00:00:00+00:00,3,3,13,9
2025-04-02 00:00:00+00:00,0,0,9,5
2025-04-03 00:00:00+00:00,1,1,15,9
2025-04-04 00:00:00+00:00,1,1,13,11
2025-04-05 00:00:00+00:00,1,1,2,1
2025-04-06 00:00:00+00:00,0,0,4,4
2025-04-07 00:00:00+00:00,2,2,23,9
2025-04-08 00:00:00+00:00,0,0,25,14
2025-04-09 00:00:00+00:00,1,1,24,14
2025-04-10 00:00:00+00:00,0,0,11,9
2025-04-11 00:00:00+00:00,0,0,18,11
2025-04-12 00:00:00+00:00,0,0,6,5
2025-04-13 00:00:00+00:00,1,1,3,3
2025-04-14 00:00:00+00:00,1,1,22,19
2025-04-15 00:00:00+00:00,0,0,19,10
2025-04-16 00:00:00+00:00,10,1,13,7
2025-04-17 00:00:00+00:00,0,0,11,10
2025-04-18 00:00:00+00:00,0,0,18,5
2025-04-19 00:00:00+00:00,0,0,16,5
2025-04-20 00:00:00+00:00,0,0,9,2
2025-04-21 00:00:00+00:00,2,1,20,12
2025-04-22 00:00:00+00:00,0,0,20,14
2025-04-23 00:00:00+00:00,0,0,27,12
2025-04-24 00:00:00+00:00,1,1,18,15
2025-04-25 00:00:00+00:00,0,0,8,7
2025-04-26 00:00:00+00:00,1,1,13,5
2025-04-27 00:00:00+00:00,2,1,1,1
2025-04-28 00:00:00+00:00,0,0,19,13
2025-04-29 00:00:00+00:00,2,1,10,8
2025-04-30 00:00:00+00:00,0,0,21,9
2025-05-01 00:00:00+00:00,1,1,18,7
2025-05-02 00:00:00+00:00,2,1,3,2
2025-05-03 00:00:00+00:00,2,2,4,3
2025-05-04 00:00:00+00:00,0,0,3,1
2025-05-05 00:00:00+00:00,0,0,10,8
2025-05-06 00:00:00+00:00,5,1,20,11
2025-05-07 00:00:00+00:00,0,0,13,13
2025-05-08 00:00:00+00:00,1,1,13,9
2025-05-09 00:00:00+00:00,0,0,5,4
2025-05-10 00:00:00+00:00,0,0,2,2
2025-05-11 00:00:00+00:00,0,0,6,6
2025-05-12 00:00:00+00:00,5,2,21,17
2025-05-13 00:00:00+00:00,0,0,8,8
2025-05-14 00:00:00+00:00,0,0,14,14
2025-05-15 00:00:00+00:00,1,1,5,4
2025-05-16 00:00:00+00:00,1,1,18,12
2025-05-17 00:00:00+00:00,1,1,0,0
2025-05-18 00:00:00+00:00,0,0,3,1
2025-05-19 00:00:00+00:00,0,0,15,11
2025-05-20 00:00:00+00:00,5,3,23,11
2025-05-21 00:00:00+00:00,1,1,10,10
2025-05-22 00:00:00+00:00,0,0,16,13
2025-05-23 00:00:00+00:00,1,1,10,8
2025-05-24 00:00:00+00:00,1,1,15,6
2025-05-25 00:00:00+00:00,1,1,11,6
2025-05-26 00:00:00+00:00,0,0,10,6
2025-05-27 00:00:00+00:00,2,2,11,8
2025-05-28 00:00:00+00:00,1,1,11,9
2025-05-29 00:00:00+00:00,6,1,9,7
2025-05-30 00:00:00+00:00,0,0,14,10
2025-05-31 00:00:00+00:00,0,0,3,2
2025-06-01 00:00:00+00:00,0,0,2,2
2025-06-02 00:00:00+00:00,0,0,16,13
2025-06-03 00:00:00+00:00,1,1,16,9
2025-06-04 00:00:00+00:00,1,1,19,11
2025-06-05 00:00:00+00:00,0,0,10,6
2025-06-06 00:00:00+00:00,1,1,12,10
2025-06-07 00:00:00+00:00,1,1,3,3
2025-06-08 00:00:00+00:00,0,0,3,2
2025-06-09 00:00:00+00:00,0,0,26,13
2025-06-10 00:00:00+00:00,0,0,11,9
2025-06-11 00:00:00+00:00,0,0,14,11
2025-06-12 00:00:00+00:00,0,0,9,8
2025-06-13 00:00:00+00:00,0,0,6,6
2025-06-14 00:00:00+00:00,1,1,0,0
2025-06-15 00:00:00+00:00,0,0,1,1
2025-06-16 00:00:00+00:00,0,0,8,6
2025-06-17 00:00:00+00:00,2,2,10,9
2025-06-18 00:00:00+00:00,369,2,6,5
2025-06-19 00:00:00+00:00,0,0,3,3
2025-06-20 00:00:00+00:00,1,1,3,3
2025-06-21 00:00:00+00:00,1,1,8,5
2025-06-22 00:00:00+00:00,0,0,5,3
2025-06-23 00:00:00+00:00,0,0,12,8
2025-06-24 00:00:00+00:00,1,1,4,3
2025-06-25 00:00:00+00:00,0,0,22,11
2025-06-26 00:00:00+00:00,0,0,11,8
2025-06-27 00:00:00+00:00,2,2,3,3
2025-06-28 00:00:00+00:00,0,0,2,2
2025-06-29 00:00:00+00:00,0,0,5,3
2025-06-30 00:00:00+00:00,1,1,11,8
2025-07-01 00:00:00+00:00,2,2,17,9
2025-07-02 00:00:00+00:00,4,2,24,9
2025-07-03 00:00:00+00:00,0,0,8,7
2025-07-04 00:00:00+00:00,1,1,6,5
2025-07-05 00:00:00+00:00,0,0,8,3
2025-07-06 00:00:00+00:00,0,0,5,4
2025-07-07 00:00:00+00:00,1,1,26,7
2025-07-08 00:00:00+00:00,0,0,13,11
2025-07-09 00:00:00+00:00,1,1,14,9
2025-07-10 00:00:00+00:00,0,0,12,10
2025-07-11 00:00:00+00:00,0,0,4,4
2025-07-12 00:00:00+00:00,0,0,3,2
2025-07-13 00:00:00+00:00,1,1,4,4
2025-07-14 00:00:00+00:00,2,2,10,8
2025-07-15 00:00:00+00:00,1,1,10,8
2025-07-16 00:00:00+00:00,0,0,16,10
2025-07-17 00:00:00+00:00,0,0,15,10
2025-09-02 00:00:00+00:00,0,0,6,5
2025-09-03 00:00:00+00:00,9,1,49,10
2025-09-04 00:00:00+00:00,16,1,13,7
2025-09-05 00:00:00+00:00,4,2,10,4
2025-09-06 00:00:00+00:00,1,1,1,1
2025-09-07 00:00:00+00:00,0,0,4,4
2025-09-08 00:00:00+00:00,1,1,9,8
2025-09-09 00:00:00+00:00,2,2,17,9
2025-09-10 00:00:00+00:00,7,1,12,9
2025-09-11 00:00:00+00:00,0,0,8,7
2025-09-12 00:00:00+00:00,0,0,15,7
2025-09-13 00:00:00+00:00,2,1,20,3
2025-09-14 00:00:00+00:00,1,1,13,5
2025-09-15 00:00:00+00:00,1,1,18,11
2025-09-16 00:00:00+00:00,7,4,14,10
2025-09-17 00:00:00+00:00,1,1,9,9
2025-09-18 00:00:00+00:00,0,0,29,11
2025-09-19 00:00:00+00:00,2,1,19,13
2025-09-20 00:00:00+00:00,1,1,1,1
2025-09-21 00:00:00+00:00,1,1,3,3
2025-09-22 00:00:00+00:00,1,1,12,11
2025-09-23 00:00:00+00:00,0,0,24,14
2025-09-24 00:00:00+00:00,0,0,19,12
2025-09-25 00:00:00+00:00,3,2,8,7
2025-09-26 00:00:00+00:00,10,2,4,4
2025-09-27 00:00:00+00:00,1,1,3,3
2025-09-28 00:00:00+00:00,2,2,10,3
2025-09-29 00:00:00+00:00,1,1,16,10
2025-09-30 00:00:00+00:00,0,0,13,9
2025-10-01 00:00:00+00:00,1,1,6,3
2025-10-02 00:00:00+00:00,0,0,6,3
2025-10-03 00:00:00+00:00,2,2,18,7
2025-10-04 00:00:00+00:00,0,0,9,2
