time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-23 00:00:00+00:00,2,2,8,3
2025-03-24 00:00:00+00:00,0,0,74,18
2025-03-25 00:00:00+00:00,0,0,17,10
2025-03-26 00:00:00+00:00,0,0,29,14
2025-03-27 00:00:00+00:00,5,5,107,14
2025-03-28 00:00:00+00:00,3,3,25,14
2025-03-29 00:00:00+00:00,1,1,5,3
2025-03-30 00:00:00+00:00,4,4,71,6
2025-03-31 00:00:00+00:00,5,4,109,19
2025-04-01 00:00:00+00:00,2,2,72,15
2025-04-02 00:00:00+00:00,0,0,24,13
2025-04-03 00:00:00+00:00,1,1,22,7
2025-04-04 00:00:00+00:00,4,4,14,2
2025-04-05 00:00:00+00:00,1,1,1,1
2025-04-06 00:00:00+00:00,1,1,33,2
2025-04-07 00:00:00+00:00,6,3,244,16
2025-04-08 00:00:00+00:00,0,0,57,7
2025-04-09 00:00:00+00:00,0,0,77,18
2025-04-10 00:00:00+00:00,0,0,48,13
2025-04-11 00:00:00+00:00,2,2,16,8
2025-04-12 00:00:00+00:00,5,4,3,3
2025-04-13 00:00:00+00:00,0,0,6,3
2025-04-14 00:00:00+00:00,5,4,224,15
2025-04-15 00:00:00+00:00,5,4,132,10
2025-04-16 00:00:00+00:00,1,1,70,16
2025-04-17 00:00:00+00:00,1,1,98,17
2025-04-18 00:00:00+00:00,0,0,45,12
2025-04-20 00:00:00+00:00,0,0,3,2
2025-04-21 00:00:00+00:00,0,0,22,8
2025-04-22 00:00:00+00:00,19,7,162,11
2025-04-23 00:00:00+00:00,1,1,59,17
2025-04-24 00:00:00+00:00,5,3,55,14
2025-04-25 00:00:00+00:00,4,2,96,9
2025-04-26 00:00:00+00:00,1,1,13,4
2025-04-27 00:00:00+00:00,1,1,2,1
2025-04-28 00:00:00+00:00,5,4,79,18
2025-04-29 00:00:00+00:00,1,1,20,10
2025-04-30 00:00:00+00:00,3,2,22,11
2025-05-01 00:00:00+00:00,1,1,21,4
2025-05-02 00:00:00+00:00,3,1,15,4
2025-05-03 00:00:00+00:00,5,1,11,4
2025-05-04 00:00:00+00:00,0,0,30,5
2025-05-05 00:00:00+00:00,1,1,50,12
2025-05-06 00:00:00+00:00,0,0,59,12
2025-05-07 00:00:00+00:00,5,5,27,9
2025-05-08 00:00:00+00:00,2,2,59,9
2025-05-09 00:00:00+00:00,0,0,24,7
2025-05-10 00:00:00+00:00,2,2,28,3
2025-05-11 00:00:00+00:00,1,1,1,1
2025-05-12 00:00:00+00:00,0,0,10,7
2025-05-13 00:00:00+00:00,1,1,38,12
2025-05-14 00:00:00+00:00,0,0,61,13
2025-05-15 00:00:00+00:00,1,1,91,9
2025-05-16 00:00:00+00:00,0,0,85,14
2025-05-17 00:00:00+00:00,2,2,13,9
2025-05-18 00:00:00+00:00,1,1,31,6
2025-05-19 00:00:00+00:00,1,1,110,16
2025-05-20 00:00:00+00:00,5,4,67,15
2025-05-21 00:00:00+00:00,1,1,74,14
2025-05-22 00:00:00+00:00,3,3,156,8
2025-05-23 00:00:00+00:00,1,1,56,19
2025-05-24 00:00:00+00:00,0,0,8,5
2025-05-25 00:00:00+00:00,0,0,32,7
2025-05-26 00:00:00+00:00,6,3,115,11
2025-05-27 00:00:00+00:00,3,2,77,13
2025-05-28 00:00:00+00:00,3,3,24,5
2025-05-29 00:00:00+00:00,1,1,58,13
2025-05-30 00:00:00+00:00,0,0,21,10
2025-05-31 00:00:00+00:00,0,0,12,5
2025-06-01 00:00:00+00:00,1,1,7,4
2025-06-02 00:00:00+00:00,2,1,16,6
2025-06-03 00:00:00+00:00,0,0,154,12
2025-06-04 00:00:00+00:00,0,0,88,12
2025-06-05 00:00:00+00:00,1,1,40,17
2025-06-06 00:00:00+00:00,0,0,76,14
2025-06-07 00:00:00+00:00,4,2,43,9
2025-06-08 00:00:00+00:00,1,1,22,6
2025-06-09 00:00:00+00:00,1,1,193,10
2025-06-10 00:00:00+00:00,3,2,58,21
2025-06-11 00:00:00+00:00,6,4,106,17
2025-06-12 00:00:00+00:00,4,2,45,13
2025-06-13 00:00:00+00:00,1,1,50,8
2025-06-14 00:00:00+00:00,4,3,5,2
2025-06-15 00:00:00+00:00,3,1,29,3
2025-06-16 00:00:00+00:00,4,2,54,14
2025-06-17 00:00:00+00:00,7,3,21,10
2025-06-18 00:00:00+00:00,0,0,28,10
2025-06-19 00:00:00+00:00,1,1,21,12
2025-06-20 00:00:00+00:00,0,0,41,9
2025-06-21 00:00:00+00:00,1,1,17,4
2025-06-22 00:00:00+00:00,1,1,58,7
2025-06-23 00:00:00+00:00,1,1,67,12
2025-06-24 00:00:00+00:00,2,1,49,15
2025-06-25 00:00:00+00:00,4,3,21,7
2025-06-26 00:00:00+00:00,1,1,73,18
2025-06-27 00:00:00+00:00,0,0,37,12
2025-06-28 00:00:00+00:00,2,2,14,3
2025-06-29 00:00:00+00:00,0,0,1,1
2025-06-30 00:00:00+00:00,12,2,25,10
2025-07-01 00:00:00+00:00,7,3,37,12
2025-07-02 00:00:00+00:00,1,1,35,10
2025-07-03 00:00:00+00:00,2,2,70,17
2025-07-04 00:00:00+00:00,5,5,8,5
2025-07-05 00:00:00+00:00,1,1,7,3
2025-07-06 00:00:00+00:00,3,2,71,5
2025-07-07 00:00:00+00:00,1,1,50,13
2025-07-08 00:00:00+00:00,28,9,79,10
2025-07-09 00:00:00+00:00,2,2,70,13
2025-07-10 00:00:00+00:00,3,2,138,22
2025-07-11 00:00:00+00:00,0,0,36,6
2025-07-12 00:00:00+00:00,2,2,5,1
2025-07-13 00:00:00+00:00,1,1,102,12
2025-07-14 00:00:00+00:00,1,1,48,14
2025-07-15 00:00:00+00:00,1,1,141,22
2025-07-16 00:00:00+00:00,1,1,53,14
2025-07-17 00:00:00+00:00,1,1,71,14
2025-09-02 00:00:00+00:00,1,1,30,10
2025-09-03 00:00:00+00:00,3,3,45,11
2025-09-04 00:00:00+00:00,1,1,36,12
2025-09-05 00:00:00+00:00,1,1,21,8
2025-09-06 00:00:00+00:00,0,0,9,3
2025-09-07 00:00:00+00:00,0,0,9,4
2025-09-08 00:00:00+00:00,1,1,43,12
2025-09-09 00:00:00+00:00,1,1,23,3
2025-09-10 00:00:00+00:00,0,0,16,10
2025-09-11 00:00:00+00:00,2,2,43,5
2025-09-12 00:00:00+00:00,1,1,22,7
2025-09-13 00:00:00+00:00,0,0,1,1
2025-09-14 00:00:00+00:00,8,8,31,6
2025-09-15 00:00:00+00:00,8,7,95,12
2025-09-16 00:00:00+00:00,0,0,17,8
2025-09-17 00:00:00+00:00,29,9,24,7
2025-09-18 00:00:00+00:00,21,1,27,4
2025-09-19 00:00:00+00:00,2,2,63,14
2025-09-20 00:00:00+00:00,7,6,10,6
2025-09-21 00:00:00+00:00,0,0,4,3
2025-09-22 00:00:00+00:00,6,5,81,8
2025-09-23 00:00:00+00:00,1,1,36,7
2025-09-24 00:00:00+00:00,6,3,85,12
2025-09-25 00:00:00+00:00,2,2,29,11
2025-09-26 00:00:00+00:00,3,2,135,14
2025-09-27 00:00:00+00:00,9,6,3,3
2025-09-28 00:00:00+00:00,1,1,16,4
2025-09-29 00:00:00+00:00,1,1,196,12
2025-09-30 00:00:00+00:00,10,7,117,8
2025-10-01 00:00:00+00:00,0,0,8,7
2025-10-02 00:00:00+00:00,0,0,7,5
2025-10-03 00:00:00+00:00,5,3,2,2
2025-10-04 00:00:00+00:00,5,4,3,3
2025-10-05 00:00:00+00:00,3,2,2,2
2025-10-06 00:00:00+00:00,2,2,25,10
2025-10-07 00:00:00+00:00,5,4,60,9
2025-10-08 00:00:00+00:00,1,1,42,10
2025-10-09 00:00:00+00:00,0,0,40,8
2025-10-10 00:00:00+00:00,2,2,25,6
2025-10-11 00:00:00+00:00,4,2,36,4
2025-10-12 00:00:00+00:00,2,1,25,8
2025-10-13 00:00:00+00:00,5,4,23,8
2025-10-14 00:00:00+00:00,2,2,40,8
2025-10-15 00:00:00+00:00,1,1,15,6
2025-10-16 00:00:00+00:00,3,3,14,5
2025-10-17 00:00:00+00:00,2,2,66,10
2025-10-18 00:00:00+00:00,5,3,9,5
2025-10-19 00:00:00+00:00,3,3,7,4
2025-10-20 00:00:00+00:00,0,0,17,7
2025-10-21 00:00:00+00:00,1,1,21,10
2025-10-22 00:00:00+00:00,3,3,44,14
2025-10-23 00:00:00+00:00,2,2,52,10
2025-10-24 00:00:00+00:00,2,2,10,7
2025-10-25 00:00:00+00:00,4,2,51,11
2025-10-26 00:00:00+00:00,0,0,8,6
2025-10-27 00:00:00+00:00,0,0,43,13
2025-10-28 00:00:00+00:00,4,3,99,19
2025-10-29 00:00:00+00:00,4,4,179,20
2025-10-30 00:00:00+00:00,7,5,100,18
2025-10-31 00:00:00+00:00,3,2,165,12
2025-11-01 00:00:00+00:00,2,1,75,7
2025-11-02 00:00:00+00:00,0,0,23,9
2025-11-03 00:00:00+00:00,24,17,91,20
2025-11-04 00:00:00+00:00,5,5,21,6
2025-11-05 00:00:00+00:00,9,8,61,17
2025-11-06 00:00:00+00:00,11,7,142,14
2025-11-07 00:00:00+00:00,2,2,108,13
2025-11-08 00:00:00+00:00,2,1,3,3
2025-11-09 00:00:00+00:00,1,1,12,4
2025-11-10 00:00:00+00:00,1,1,37,7
2025-11-11 00:00:00+00:00,2,2,36,17
2025-11-12 00:00:00+00:00,6,6,42,17
2025-11-13 00:00:00+00:00,12,12,34,6
2025-11-14 00:00:00+00:00,1,1,36,12
2025-11-15 00:00:00+00:00,6,6,29,4
2025-11-16 00:00:00+00:00,1,1,7,5
2025-11-17 00:00:00+00:00,5,3,241,14
2025-11-18 00:00:00+00:00,10,7,196,19
2025-11-19 00:00:00+00:00,4,3,50,10
2025-11-20 00:00:00+00:00,0,0,19,7
2025-11-21 00:00:00+00:00,2,2,75,12
2025-11-22 00:00:00+00:00,2,2,3,3
2025-11-23 00:00:00+00:00,1,1,5,4
2025-11-24 00:00:00+00:00,0,0,9,6
2025-11-25 00:00:00+00:00,0,0,10,6
2025-11-26 00:00:00+00:00,2,2,28,13
2025-11-27 00:00:00+00:00,0,0,29,9
2025-11-28 00:00:00+00:00,1,1,16,9
2025-11-29 00:00:00+00:00,0,0,9,4
2025-11-30 00:00:00+00:00,3,3,14,12
2025-12-01 00:00:00+00:00,6,3,13,7
2025-12-02 00:00:00+00:00,4,3,35,9
2025-12-03 00:00:00+00:00,37,33,56,9
2025-12-04 00:00:00+00:00,6,6,14,11
2025-12-05 00:00:00+00:00,6,6,59,8
2025-12-06 00:00:00+00:00,3,3,3,2
2025-12-07 00:00:00+00:00,3,3,31,3
2025-12-08 00:00:00+00:00,10,8,58,13
2025-12-09 00:00:00+00:00,10,6,119,17
2025-12-10 00:00:00+00:00,1,1,39,10
2025-12-11 00:00:00+00:00,3,3,98,14
2025-12-12 00:00:00+00:00,7,7,90,20
2025-12-13 00:00:00+00:00,2,2,17,3
2025-12-14 00:00:00+00:00,1,1,31,7
2025-12-15 00:00:00+00:00,3,2,36,16
2025-12-16 00:00:00+00:00,14,11,50,8
2025-12-17 00:00:00+00:00,2,2,107,12
2025-12-18 00:00:00+00:00,0,0,64,8
2025-12-19 00:00:00+00:00,4,2,49,15
2025-12-20 00:00:00+00:00,3,1,3,3
2025-12-21 00:00:00+00:00,1,1,13,5
2025-12-22 00:00:00+00:00,3,1,12,6
2025-12-23 00:00:00+00:00,8,5,21,12
2025-12-24 00:00:00+00:00,1,1,17,4
2025-12-25 00:00:00+00:00,3,2,3,3
2025-12-26 00:00:00+00:00,0,0,21,9
2025-12-27 00:00:00+00:00,1,1,52,2
2025-12-28 00:00:00+00:00,1,1,64,4
2025-12-29 00:00:00+00:00,1,1,29,11
2025-12-30 00:00:00+00:00,1,1,10,6
2025-12-31 00:00:00+00:00,3,2,10,7
2026-01-01 00:00:00+00:00,28,2,3,2
2026-01-02 00:00:00+00:00,2,2,5,4
2026-01-03 00:00:00+00:00,0,0,10,5
2026-01-04 00:00:00+00:00,2,2,17,8
2026-01-05 00:00:00+00:00,1,1,8,6
2026-01-06 00:00:00+00:00,4,3,21,12
2026-01-07 00:00:00+00:00,0,0,29,8
2026-01-08 00:00:00+00:00,0,0,11,8
2026-01-09 00:00:00+00:00,5,5,17,6
2026-01-10 00:00:00+00:00,3,2,20,10
2026-01-11 00:00:00+00:00,2,2,5,3
2026-01-12 00:00:00+00:00,4,3,30,15
2026-01-13 00:00:00+00:00,3,2,32,10
2026-01-14 00:00:00+00:00,5,3,69,15
2026-01-15 00:00:00+00:00,0,0,26,8
2026-01-16 00:00:00+00:00,1,1,13,12
2026-01-17 00:00:00+00:00,1,1,2,2
2026-01-18 00:00:00+00:00,2,2,19,7
2026-01-19 00:00:00+00:00,5,5,65,11
2026-01-20 00:00:00+00:00,0,0,31,12
2026-01-21 00:00:00+00:00,3,3,38,12
2026-01-22 00:00:00+00:00,1,1,16,5
2026-01-23 00:00:00+00:00,1,1,27,8
2026-01-24 00:00:00+00:00,0,0,7,6
2026-01-25 00:00:00+00:00,1,1,10,7
2026-01-26 00:00:00+00:00,3,2,38,10
2026-01-27 00:00:00+00:00,0,0,20,9
2026-01-28 00:00:00+00:00,4,3,51,20
2026-01-29 00:00:00+00:00,2,2,31,17
2026-01-30 00:00:00+00:00,4,3,48,10
2026-01-31 00:00:00+00:00,5,5,11,4
2026-02-01 00:00:00+00:00,9,4,11,4
2026-02-02 00:00:00+00:00,8,5,31,12
2026-02-03 00:00:00+00:00,4,4,73,14
2026-02-04 00:00:00+00:00,20,5,240,14
2026-02-05 00:00:00+00:00,6,5,124,17
2026-02-06 00:00:00+00:00,6,4,43,10
2026-02-07 00:00:00+00:00,0,0,16,5
2026-02-08 00:00:00+00:00,1,1,19,7
2026-02-09 00:00:00+00:00,3,2,61,15
2026-02-10 00:00:00+00:00,8,7,26,14
2026-02-11 00:00:00+00:00,21,5,75,11
2026-02-12 00:00:00+00:00,5,4,43,13
